,종목코드,종목명,종류
253,004365,세방우,KOSPI
254,004370,농심,KOSPI
255,004380,삼익THK,KOSPI
256,004410,서울식품,KOSPI
257,004415,서울식품우,KOSPI
258,004430,송원산업,KOSPI
259,004440,대림씨엔에스,KOSPI
260,004450,삼화왕관,KOSPI
261,004490,세방전지,KOSPI
262,004540,깨끗한나라,KOSPI
263,004545,깨끗한나라우,KOSPI
264,004560,현대비앤지스틸,KOSPI
265,004565,현대비앤지스틸우,KOSPI
266,004590,한국가구,KOSDAQ
267,004650,창해에탄올,KOSDAQ
268,004690,삼천리,KOSPIchart_algscore_cumulative'
269,004700,조광피혁,KOSPI
270,004710,한솔테크닉스,KOSPI
271,004720,우리들제약,KOSPI
272,004770,써니전자,KOSPI
273,004780,대륙제관,KOSDAQ
274,004800,효성,KOSPI
275,004830,덕성,KOSPI
276,004835,덕성우,KOSPI
277,004840,DRB동일,KOSPI
278,004870,티웨이홀딩스,KOSPI
279,004890,동일산업,KOSPI
280,004910,조광페인트,KOSPI
281,004920,씨아이테크,KOSPI
282,004960,한신공영,KOSPI
283,004970,신라교역,KOSPI
284,004980,성신양회,KOSPI
285,004985,성신양회우,KOSPI
286,004987,성신양회2우B,KOSPI
287,004989,성신양회3우B,KOSPI
288,004990,롯데지주,KOSPI
289,005010,휴스틸,KOSPI
290,005030,부산주공,KOSPI
291,005070,코스모신소재,KOSPI
292,005090,삼광글라스,KOSPI
293,005110,한창,KOSPI
294,005160,동국산업,KOSDAQ
295,005180,빙그레,KOSPI
296,005190,동성화학,KOSPI
297,005250,녹십자홀딩스,KOSPI
298,005257,녹십자홀딩스2우,KOSPI
299,005290,동진쎄미켐,KOSDAQ
300,005300,롯데칠성,KOSPI
301,005305,롯데칠성우,KOSPI
302,005320,국동,KOSPI
303,005360,모나미,KOSPI
304,005380,현대차,KOSPI
305,005385,현대차우,KOSPI
306,005387,현대차2우B,KOSPI
307,005389,현대차3우B,KOSPI
308,005390,신성통상,KOSPI
309,005420,코스모화학,KOSPI
310,005430,한국공항,KOSPI
311,005440,현대그린푸드,KOSPI
312,005450,신한,KOSPI
313,005490,POSCO,KOSPI
314,005500,삼진제약,KOSPI
315,005610,SPC삼립,KOSPI
316,005670,푸드웰,KOSDAQ
317,005680,삼영전자,KOSPI
318,005690,파미셀,KOSPI
319,005710,대원산업,KOSDAQ
320,005720,넥센,KOSPI
321,005725,넥센우,KOSPI
322,005740,크라운해태홀딩스,KOSPI
323,005745,크라운해태홀딩스우,KOSPI
324,005750,대림B&Co;,KOSPI
325,005800,신영와코루,KOSPI
326,005810,풍산홀딩스,KOSPI
327,005820,원림,KOSPI
